venue,year,doi,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.166,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.168,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.169,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.170,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.172,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.173,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.175,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.177,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.178,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.184,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.185,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.186,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.189,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.190,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.194,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.195,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.197,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.198,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.199,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.200,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.203,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.204,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.126,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.129,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.130,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.137,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.138,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.144,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.149,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.150,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.154,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.159,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.161,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.162,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.163,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.164,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.174,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.175,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.176,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.177,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.179,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.180,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.183,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.184,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.185,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.186,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.191,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.193,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.194,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.197,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.205,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.206,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.209,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.210,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.216,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.217,,,,,,,,,,
InfoVis,2010,10.1109/TVCG.2010.222,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652392,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652398,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652433,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652443,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652450,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652460,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652467,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652478,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652484,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652520,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652530,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652879,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652880,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652885,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652890,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652895,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5653598,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652896,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652910,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652922,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652926,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652931,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652932,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652940,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5652968,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5653587,,,,,,,,,,
VAST,2010,10.1109/VAST.2010.5653599,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.127,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.128,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.131,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.132,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.133,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.134,,,,,,,,,,
